(2,3-epoxidising (2,3-epoxidizing
[D]Haemoptysis [D]Hemoptysis
[D]Hyperaesthesia [D]Hyperesthesia
[D]Hyperglycaemia [D]Hyperglycemia
[D]Hypoaesthesia [D]Hypoesthesia
[D]Hypovolaemic [D]Hypovolemic
[D]Hypoxaemia [D]Hypoxemia
[D]Localised [D]Localized
[D]Oedema [D]Edema
[D]Orthopnoea [D]Orthopnea
[D]Paraesthesia [D]Paresthesia
[D]Phagedaena [D]Phagedena
[D]Septicaemic [D]Septicemic
[D]Tachypnoea [D]Tachypnea
[D]Urethrorrhoea [D]Urethrorrhea
[M]Aleukaemic [M]Aleukemic
[M]Erythroleukaemia [M]Erythroleukemia
[M]Erythroleukaemias [M]Erythroleukemias
[M]Haemangioendothelioma [M]Hemangioendothelioma
[M]Haemangioma [M]Hemangioma
[M]Haemangiopericytic [M]Hemangiopericytic
[M]Leukaemia [M]leukemia
[M]Leukaemias [M]leukemias
[M]Leukaemic [M]Leukemic
[M]Naevi [M]Nevi
[M]Polycythaemia [M]Polycythemia
[M]Specialised [M]Specialized
[M]Tumour [M]Tumor
[V]Amoebiasis [V]Amebiasis
[V]Behavioural [V]Behavioral
[V]Desensitisation [V]Desensitization
[V]Gonorrhoea [V]Gonorrhea
[V]Gynaecological [V]Gynecological
[V]Immunisation [V]Immunization
[V]Post-sterilisation [V]Post-sterilization
[V]Sensitisation [V]Sensitization
[V]Sterilisation [V]Sterilization
[V]Tularaemia [V]Tularemia
[X]Amoebiasis [X]Amebiasis
[X]Amoebic [X]Amebic
[X]Anaemia [X]Anemia
[X]Anaesthesiology [X]Anesthesiology
[X]Anaesthetics [X]Anesthetics
[X]Antidiarrhoeal [X]Antidiarrheal
[X]Antihyperlipidaemic [X]Antihyperlipidemic
[X]Behavioural [X]Behavioral
[X]Diarrhoea [X]Diarrhea
[X]Haemolytic [X]Hemolytic
[X]Haemorrhage [X]Hemorrhage
[X]Haemorrhagic [X]Hemorrhagic
[X]Hyperglycaemia [X]Hyperglycemia
[X]Immunisation [X]Immunization
[X]Impetiginisation [X]Impetiginization
[X]Labour [X]Labor
[X]Localised [X]Localized
[X]Meningococcaemia [X]Meningococcemia
[X]Necrotising [X]Necrotizing
[X]Oedema [X]Edema
[X]Oesophageal [X]Esophageal
[X]Orthopaedic [X]Orthopedic
[X]Septicaemia [X]Septicemia
[X]Spirochaetal [X]Spirochetal
[X]Sulphonamides [X]Sulfonamides
[X]Tularaemia [X]Tularemia
[anaemia] [anemia]
[anaesth] [anesth]
[anaesthesia] [anesthesia]
[antidiarrhoeal [antidiarrheal
[antidiarrhoeal] [antidiarrheal]
[gynaecological [gynecological
[haemostatic] [hemostatic]
^126^Caesium ^126^Cesium
^127^Caesium ^127^Cesium
^128^Caesium ^128^Cesium
^129^Caesium ^129^Cesium
^131^Caesium ^131^Cesium
^132^Caesium ^132^Cesium
^134^Caesium ^134^Cesium
^134m^Caesium ^134m^Cesium
^135^Caesium ^135^Cesium
^136^Caesium ^136^Cesium
^137^Caesium ^137^Cesium
^26^Aluminium ^26^Aluminum
^35^Sulphur ^35^Sulfur
^38^Sulphur ^38^Sulfur
aDP-sulphurylase aDP-sulfurylase
aK-Sulph aK-Sulf
aNAESTHETIC aNESTHETIC
aTP-sulphurylase aTP-sulfurylase
abacteraemic abacteremic
abetalipoproteinaemia abetalipoproteinemia
acatalasaemia acatalasemia
acclimatisation acclimatization
acenaesthesia acenesthesia
acesulphame acesulfame
acetate+ethinyloestradiol acetate+ethinylestradiol
acetonaemia acetonemia
acetosulphone acetosulfone
aciclovir acyclovir
acid+sulphur acid+sulfur
acid-haematoxylin acid-hematoxylin
acidaemia acidemia
acidiser acidizer
acmaesthesia acmesthesia
acroparaesthesia acroparesthesia
actualisation actualization
actualising actualizing
adenylylsulphatase adenylylsulfatase
adenylylsulphate adenylylsulfate
adenylylsulphate-ammonia adenylylsulfate-ammonia
adrenaline epinephrine
adrenoleucodystrophy adrenoleukodystrophy
aegophony egophony
aero-engine air-engine
aeroplane airplane
aesthesia esthesia
aesthesioneuroblastoma esthesioneuroblastoma
aesthesioneurocytoma esthesioneurocytoma
aesthesioneuroepithelioma esthesioneuroepithelioma
aesthetic esthetic
aesthetically esthetically
aestivale estivale
aestivalis estivalis
aetiocholanolone etiocholanolone
aetiologic etiologic
aetiology etiology
afibrinogenaemia afibrinogenemia
agammaglobulinaemia agammaglobulinemia
ageing aging
agonising agonizing
airocoele airocele
akinaesthesia akinesthesia
alaninaemia alaninemia
albuminaemia albuminemia
aleucocytosis aleukocytosis
aleukaemic aleukemic
aliquorrhoea aliquorrhea
alkalaemia alkalemia
alkalinisation alkalinization
alkalinising alkalinizing
alkalising alkalizing
alloimmunisation alloimmunization
allyloestrenol allylestrenol
alpha-Haemolysis alpha-Hemolysis
alpha-glucosamine-6-sulphatase alpha-glucosamine-6-sulfatase
alpha-haemolytic alpha-hemolytic
alpha-prime-Haemolysis alpha-prime-Hemolysis
alpha-thalassaemia alpha-thalassemia
alphalipoproteinaemia alphalipoproteinemia
aluminium aluminum
aluminium-based aluminum-based
aluminium-related aluminum-related
amenorrhoea amenorrhea
amenorrhoea-galactorrhoea amenorrhea-galactorrhea
amenorrhoea-hyperprolactinaemia amenorrhea-hyperprolactinemia
aminoacidaemia aminoacidemia
aminolaevulinate aminolevulinate
aminolaevulinic aminolevulinic
amoeba ameba
amoebiasis amebiasis
amoebic amebic
amoebicide amebicide
amoebicides amebicides
amoeboma ameboma
ampoule ampule
ampoules ampules
amylasaemia amylasemia
anaemia anemia
anaemia/blood anemia/blood
anaemias anemias
anaemic anemic
anaemicus anemicus
anaes anes
anaesth-general-2nd anesth-general-2nd
anaesth. anesth.
anaesthesia anesthesia
anaesthesia-induced anesthesia-induced
anaesthesiologist anesthesiologist
anaesthesiologists anesthesiologists
anaesthesiologists' anesthesiologists'
anaesthetic anesthetic
anaesthetic/analgesic anesthetic/analgesic
anaesthetics anesthetics
anaesthetics+antipruritics anesthetics+antipruritics
anaesthetics-oropharynx anesthetics-oropharynx
anaesthetised anesthetised
anaesthetist anesthetist
analbuminaemia analbuminemia
analogue analog
analogue-XLEU analog-XLEU
analogues analogs
analphalipoproteinaemia analphalipoproteinemia
analphaliproteinaemia analphaliproteinemia
analyser analyzer
anapolipoproteinaemia anapolipoproteinemia
angio-oedema angioedema
angio-oedema-urticaria angioedema-urticaria
angiohaemophilia angiohemophilia
anoestrus anestrus
anoxaemia anoxemia
anoxic-ischaemic anoxic-ischemic
anti-Diarrhoeal anti-Diarrheal
anti-haemoglobin anti-hemoglobin
anti-hypochromic-anaemia anti-hypochromic-anemia
anti-leucocyte anti-leukocyte
anti-megaloblastic-anaemia anti-megaloblastic-anemia
anti-sulphatide anti-sulfatide
anti-tumour anti-tumor
antiamoebic antiamebic
antianaemia antianemia
antianaemic antianemic
antidiarrhoea antidiarrhea
antidiarrhoeal antidiarrheal
antihaemophilic antihemophilic
antihyperlipidaemic antihyperlipidemic
antilipaemic antilipemic
antioestrogen antiestrogen
antioestrogens antiestrogens
antiseptic-Anaesthetic antiseptic-Anesthetic
antithrombinaemia antithrombinemia
aorto-oesophageal aorto-esophageal
aortocoeliac aortoceliac
aphememesthaesia aphememesthesia
aphemesthaesia aphemesthesia
apnoea apnea
apnoeic apneic
appendicectomy appendectomy
appendicocaecostomy appendicocecostomy
appetising appetizing
arborisation arborization
arborising arborizing
archaeologist archeologist
argininaemia argininemia
armoured armored
arylsulphatase arylsulfatase
arylsulphate arylsulfate
assay/titre assay/titer
atomiser atomizer
atopomenorrhoea atopomenorrhea
atransferinaemia atransferinemia
atransferrinaemia atransferrinemia
auditory,kinaesthetic auditory,kinesthetic
autoeczematisation autoeczematization
autoleucocyte autoleukocyte
autopolymerising autopolymerizing
autosensitisation autosensitization
azo-Sulphisoxazole azo-Sulfisoxazole
azotaemia azotemia
azotaemic azotemic
bacteraemia bacteremia
baraesthesia baresthesia
behaviour behavior
behavioural behavioral
behaviours behaviors
belt+aluminium belt+aluminum
benoxyl-10+sulphur benoxyl-10+sulfur
benoxyl-5+sulphur benoxyl-5+sulfur
bensulphide bensulfide
benzenesulphonate benzenesulfonate
benzoestrol benzestrol
benzosulphimide benzosulfimide
bespoke custom-made
beta-Haemolysis beta-Hemolysis
beta-haemolytic beta-hemolytic
beta-oestradiol beta-estradiol
beta-sitosterolaemia beta-Sitosterolemia
beta^0^-thalassaemia beta^0^-thalassemia
bicolour bicolor
bicuspidisation bicuspidization
bilirubinaemia bilirubinemia
bingeing binging
bisalbuminaemia bisalbuminemia
bisulphate bisulfate
bisulphide bisulfide
bisulphite bisulfite
blennorrhoea blennorrhea
blepharoedema blepharedema
bradypnoea bradypnea
bromosulphophthalein bromosulfophthalein
bromsulphalein bromsulfalein
bromsulphophthalein bromsulfophthalein
bromsulphthalein bromsulfthalein
bronchiolisation bronchiolization
broncho-oesophageal bronchoesophageal
bronchorrhoea bronchorrhea
busulphan busulfan
busulphex busulfex
caecal cecal
caecitis cecitis
caecocolic cecocolic
caecocoloplicopexy cecocoloplicopexy
caecocolostomy cecocolostomy
caecocystoplasty cecocystoplasty
caecofixation cecofixation
caecopexy cecopexy
caecoplasty cecoplasty
caecoplication cecoplication
caecorectal cecorectal
caecorrhaphy cecorrhaphy
caecosigmoidal cecosigmoidal
caecosigmoidostomy cecosigmoidostomy
caecostomy cecostomy
caecotomy cecotomy
caecum cecum
caerula cerula
caerulin cerulin
caeruloplasmin ceruloplasmin
caesarean cesarean
caesarian cesarian
caesium cesium
calibre caliber
camphorsulphonate camphorsulfonate
canalisation canalization
canalised canalized
cannulisation cannulization
carbon-sulphur carbon-sulfur
carboniser carbonizer
carboxyhaemoglobin carboxyhemoglobin
carboxyhaemoglobinaemia carboxyhemoglobinemia
carboxyhaemoglobinuria carboxyhemoglobinuria
cardio-oesophageal cardioesophageal
carnosinaemia carnosinemia
carotenaemia carotenemia
casts/microlitre casts/microliter
catastrophisation catastrophization
categorised categorized
categorising categorizing
catherisation/cannulation catherization/cannulation
catheterisation catheterization
catheterised catheterized
cauterisation cauterization
cauterised cauterized
cavernostomising cavernostomizing
cell-Haemoglobin cell-Hemoglobin
cell-beta-thalassaemia cell-beta-thalassemia
cell-beta^+^-thalassaemia cell-beta^+^-thalassemia
cell-beta^0^-thalassaemia cell-beta^0^-thalassemia
cell-haemoglobin cell-hemoglobin
cell-thalassaemia cell-thalassemia
cell/litre cell/liter
cells/litre cells/liter
cells/microlitre cells/microliter
cenaesthesic cenesthesic
centilitre centiliter
centimetre centimeter
centimetre/second centimeter/second
centimetres centimeters
centralisation centralization
centre center
centre-7 center-7
centre-line center-line
centres centers
centrocaecal centrocecal
cephaeline cephaline
cephalhaematoma cephalhematoma
cephalohaematoma cephalohematoma
cerebroside-sulphatase cerebroside-sulfatase
characterise characterize
characterised characterized
chemocauterisation chemocauterization
chemoembolisation chemoembolization
chimaera chimera
chloridorrhoea chloridorrhea
chloriodised chloriodized
cholaemia cholemia
cholaemic cholemic
cholecystocaecostomy cholecystocecostomy
cholestasis-lymphoedema cholestasis-lymphedema
cholestasis-oedema cholestasis-edema
cholinesulphatase cholinesulfatase
chondro-2-sulphatase chondro-2-sulfatase
chondro-4-sulphatase chondro-4-sulfatase
chondro-6-sulphatase chondro-6-sulfatase
chondroitinsulphatase chondroitinsulfatase
choroideraemia choroideremia
chromocentre chromocenter
chromodacryorrhoea chromodacryorrhea
cicatrisation cicatrization
citrullinaemia citrullinemia
clay-coloured clay-colored
coA-disulphide coA-disulfide
coelestine celestine
coeliac celiac
coeliocentesis celiocentesis
coelioscopy celioscopy
coeliotomy celiotomy
coelom celom
coenesthopathic cenesthopathic
coenzyme-M-7-mercaptoheptanoylthreonine-phosphate-heterodisulphide coenzyme-M-7-mercaptoheptanoylthreonine-phosphate-heterodisulfide
cognitive-behavioural cognitive-behavioral
colitoxaemia colitoxemia
colocaecostomy colocecostomy
colour color
colour-Check color-Check
colour/staining color/staining
colour: color:
coloured colored
colourful colorful
colourimetric colorimetric
colouring coloring
colouring-free coloring-free
colouring/flavouring coloring/flavoring
colourless colorless
colours colors
colpocoeliocentesis colpoceliocentesis
compression-moulding-machine compression-molding-machine
computerisation computerization
computerised computerized
conceptualisation conceptualization
conisation conization
counselled counseled
counselling counseling
craterisation craterization
cream-coloured cream-colored
crico-oesophageal cricoesophageal
cryaesthesia cryesthesia
cryanaesthesia cryanesthesia
cryoanaesthesia cryoanesthesia
cryoconisation cryoconization
cryofibrinogenaemia cryofibrinogenemia
cryoglobulinaemia cryoglobulinemia
cryoglobulinaemic cryoglobulinemic
cryoimmunoglobulinaemia cryoimmunoglobulinemia
cryptomenorrhoea cryptomenorrhea
crystallisation crystallization
crystalliser crystallizer
cyanmethaemoglobin cyanmethemoglobin
cycloanemisation cycloanemization
cystathioninaemia cystathioninemia
cysteine-sulphinate cysteine-sulfinate
cystinaemia cystinemia
d-lactate-2-sulphatase d-lactate-2-sulfatase
dPNH-methaemoglobin dPNH-methemoglobin
decentralised decentralized
decilitre deciliter
decimetre decimeter
decolourising decolorizing
defaec.ref.abn.-constip. defec.ref.abn.-constip.
defaecate defecate
defaecating defecating
defaecation defecation
defence defense
deformity/haematoma deformity/hematoma
deglycerolised deglycerolized
delta-Aminolaevulinate delta-Aminolevulinate
delta-Aminolaevulinic delta-Aminolevulinic
delta-aminolaevulinate delta-aminolevulinate
delta-aminolaevulinic delta-aminolevulinic
demineralisation demineralization
demineralised demineralized
demoralisation demoralization
deodorising deodorizing
deodorising+antiseptic deodorizing+antiseptic
deoxyhaemoglobin deoxyhemoglobin
depersonalisation depersonalization
depersonalisation-derealisation depersonalization-derealization
depo-Oestradiol depo-Estradiol
depolarisation depolarization
depolarising depolarizing
depolymerisation depolymerization
deputising deputizing
derealisation derealization
dermatan-sulphate dermatan-sulfate
desensitisation desensitization
desensitise desensitize
desensitising desensitizing
desulphinase desulfinase
desulphoglucosinolate desulfoglucosinolate
desulphoheparin desulfoheparin
desulphurisation desulfurization
desulphydrase desulfhydrase
desynchronisation desynchronization
desynchronised desynchronized
detubularised detubularized
devascularisation devascularization
device+paediatric device+pediatric
devitalisation devitalization
devitalised devitalized
devitalising devitalizing
dialyser dialyzer
diaminodiphenylsulphone diaminodiphenylsulfone
diarrhoea diarrhea
diarrhoeagenic diarrheagenic
diarrhoeal diarrheal
diarrhoeic diarrheic
dienoestrol dienestrol
diethylstilboestrol diethylstilbestrol
digitalised digitalized
dihydroxyaluminium dihydroxyaluminum
dimethylsulphate dimethylsulfate
dimethylsulphoxide dimethylsulfoxide
dioestrus diestrus
dioptre diopter
dioptres diopters
discolouration discoloration
discoloured discolored
disorganised disorganized
distichiasis-lymphoedema distichiasis-lymphedema
disulphide disulfide
disulphide-isomerase disulfide-isomerase
disulphides disulfides
disulphine disulfine
disulphiram disulfiram
disulphoton disulfoton
draughtsman draftsman
drepanocythaemia drepanocythemia
drug-sensitised drug-sensitized
dynamisation dynamization
dysaesthesia dysesthesia
dysalbuminaemic dysalbuminemic
dysbetalipoproteinaemia dysbetalipoproteinemia
dysfibrinogenaemia dysfibrinogenemia
dysfibronectinaemic dysfibronectinemic
dysgammaglobulinaemia dysgammaglobulinemia
dyshaematopoietic dyshematopoietic
dysimmunoglobulinaemia dysimmunoglobulinemia
dysmenorrhoea dysmenorrhea
dysmucorrhoea dysmucorrhea
dysplasminogenaemia dysplasminogenemia
dyspnoea dyspnea
dysprealbuminaemic dysprealbuminemic
dysproteinaemia dysproteinemia
dysproteinaemias dysproteinemias
eCOLISER eCOLIZER
eczematised eczematized
electrocauterisation electrocauterization
electroconisation electroconization
electrovaporisation electrovaporization
embolisation embolization
endosulphan endosulfan
endothelioleucocytal endothelioleukocytal
endothelioleucocytic endothelioleukocytic
endotoxaemia endotoxemia
energiser energizer
entamoebiasis entamebiasis
enterohaemorrhagic enterohemorrhagic
enterotoxaemia enterotoxemia
enterotoxaemic enterotoxemic
entsulphon entsulfon
epidermalisation epidermalization
epidermidisation epidermidization
epimenorrhoea epimenorrhea
epithelialisation epithelialization
equalisation equalization
erosive/haemorrhagic erosive/hemorrhagic
eroticised eroticized
erythraemia erythremia
erythraemic erythremic
erythroblastaemia erythroblastemia
erythrocytes/litre erythrocytes/liter
erythrocytes/microlitre erythrocytes/microliter
erythrocythaemia erythrocythemia
erythroedema erythredema
erythroleukaemia erythroleukemia
ethanedisulphonate ethanedisulfonate
ethinyloestradiol ethinylestradiol
ethinyloestradiol+desogestrel ethinylestradiol+desogestrel
ethinyloestradiol+ethynodiol ethinylestradiol+ethynodiol
ethinyloestradiol+gestodene ethinylestradiol+gestodene
ethinyloestradiol+gestodene+placebo ethinylestradiol+gestodene+placebo
ethinyloestradiol+levonorgestrel ethinylestradiol+levonorgestrel
ethinyloestradiol+norethisterone ethinylestradiol+norethisterone
ethinyloestradiol+norgestimate ethinylestradiol+norgestimate
ethiodised ethiodized
ethyloestrenol ethylestrenol
eupnoea eupnea
exocoelomic exocelomic
exteriorisation exteriorization
exteriorised exteriorized
fP/CHS-Paed fP/CHS-Ped
faecal fecal
faecalis fecalis
faecalith fecalith
faecaliths fecaliths
faecaloma fecaloma
faeces feces
faeces-induced feces-induced
faeces/motions feces/motions
faeces: feces:
faeces:foreign feces:foreign
faeces:no feces:no
faeces:red feces:red
faecolith fecolith
faecoliths fecoliths
faeculant feculant
fantasising fantasizing
faradisation faradization
favour favor
favourable favorable
feminisation feminization
feminisation-adrenogenital feminization-adrenogenital
feminised feminized
feminising feminizing
femtogram/litre femtogram/liter
femtogram/millilitre femtogram/milliliter
femtokatal/litre femtokatal/liter
femtolitre femtoliter
femtomole/leucocyte femtomole/leukocyte
femtomole/litre femtomole/liter
ferri-haemoglobin ferri-hemoglobin
ferrihaemoprotein ferrihemoprotein
fertilisation fertilization
fertilised fertilized
fertiliser fertilizer
fertilisers fertilizers
fibre fiber
fibrelight fiberlight
fibreoptic fiberoptic
fibres fibers
fibro-oedematous fibroedematous
fistulisation fistulization
fistulising fistulizing
flavour flavor
flavouring flavoring
floating-Harbour floating-Harbor
foetal fetal
foetus fetus
fraenal frenal
fraenectomy frenectomy
fraenoplasty frenoplasty
fraenum frenum
fructosaemia fructosemia
frusemide furosemide
fungaemia fungemia
fusion-stabilisation fusion-stabilization
fusospirochaetal fusospirochetal
gP/CHS-paed gP/CHS-ped
galactassaemia galactassemia
galactorrhoea galactorrhea
galactosaemia galactosemia
galactosaemic galactosemic
galactosamine-6-sulphatase galactosamine-6-sulfatase
galactose-6-sulphatase galactose-6-sulfatase
galactose-6-sulphate galactose-6-sulfate
galactose-6-sulphurylase galactose-6-sulfurylase
galvanisers' galvanizers'
galvanocauterisation galvanocauterization
gamma-Haemolysis gamma-Hemolysis
gamma-haemolytic gamma-hemolytic
gargalaesthesia gargalesthesia
gargalanaesthesia gargalanesthesia
gastro-oesophageal gastroesophageal
gastro-oesophagitis gastroesophagitis
gastro-oesophagoscopy gastroesophagoscopy
generalisation generalization
generalised generalized
generalised-onset generalized-onset
glucohaemoglobin glucohemoglobin
glucosulphatase glucosulfatase
glucosulphone glucosulfone
glucuronate-2-sulphatase glucuronate-2-sulfatase
glucuronosyl-disulphoglucosamine glucuronosyl-disulfoglucosamine
glueing gluing
glutathionaemia glutathionemia
glycaemic glycemic
glycinaemia glycinemia
glycosulphatase glycosulfatase
goitre goiter
gonococcaemia gonococcemia
gonorrhoea gonorrhea
gram/decilitre gram/deciliter
gram/litre gram/liter
graphaesthesia graphesthesia
guaiacolsulphonate guaiacolsulfonate
guidance-localisation guidance-localization
gynae gyne
gynae. gyne.
gynaecogram gynecogram
gynaecoid gynecoid
gynaecologic gynecologic
gynaecological gynecological
gynaecologist gynecologist
gynaecology gynecology
gynaecomastia gynecomastia
gynaecomazia gynecomazia
gynaephobia gynephobia
h/O:gynaecological h/O:gynecological
hAEMOSTATIC hEMOSTATIC
haem heme
haem-haemopexin heme-hemopexin
haemaccel hemaccel
haemagglutinating hemagglutinating
haemagglutination hemagglutination
haemagglutinin hemagglutinin
haemaglutination hemaglutination
haemangiectatic hemangiectatic
haemangioblastic hemangioblastic
haemangioblastoma hemangioblastoma
haemangioblastomatosis hemangioblastomatosis
haemangiocytoma hemangiocytoma
haemangioendothelial hemangioendothelial
haemangioendothelioma hemangioendothelioma
haemangioma hemangioma
haemangioma-haemorrhage hemangioma-hemorrhage
haemangiomas hemangiomas
haemangiomata hemangiomata
haemangiomatosis hemangiomatosis
haemangiomatous hemangiomatous
haemangiopericytic hemangiopericytic
haemangiopericytoma hemangiopericytoma
haemangiosarcoma hemangiosarcoma
haemarthrosis hemarthrosis
haemarthrosis-1st hemarthrosis-1st
haematein hematein
haematemesis hematemesis
haematin hematin
haematinic hematinic
haematite hematite
haematobilia hematobilia
haematobium hematobium
haematocele hematocele
haematochezia hematochezia
haematocolpometra hematocolpometra
haematocolpos hematocolpos
haematocornea hematocornea
haematocrit hematocrit
haematocrit/haemoglobin hematocrit/hemoglobin
haematocyst hematocyst
haematodinium hematodinium
haematogenous hematogenous
haematohidrosis hematohidrosis
haematohistioblast hematohistioblast
haematoidin hematoidin
haematologic hematologic
haematological hematological
haematologist hematologist
haematology hematology
haematology/dietetic hematology/dietetic
haematoma hematoma
haematomediastinum hematomediastinum
haematometra hematometra
haematomyelia hematomyelia
haematopericardium hematopericardium
haematopoiesis hematopoiesis
haematopoietic hematopoietic
haematoporphyria hematoporphyria
haematoporphyrin hematoporphyrin
haematoporphyrinuria hematoporphyrinuria
haematopyometra hematopyometra
haematosalpinx hematosalpinx
haematoside hematoside
haematospermia hematospermia
haematotympanum hematotympanum
haematoxylin hematoxylin
haematozoic hematozoic
haematuria hematuria
haemic hemic
haemin hemin
haemobilia hemobilia
haemocholecyst hemocholecyst
haemochromatosis hemochromatosis
haemoclips hemoclips
haemoconcentrator hemoconcentrator
haemocyanin hemocyanin
haemocyte hemocyte
haemocyte-F hemocyte-F
haemocytoblast hemocytoblast
haemocytophagia hemocytophagia
haemodiafiltration hemodiafiltration
haemodialysate hemodialysate
haemodialysis hemodialysis
haemodialysis-associated hemodialysis-associated
haemodialyzate hemodialyzate
haemodilution hemodilution
haemodynamic hemodynamic
haemodynamically hemodynamically
haemofiltrate hemofiltrate
haemofiltration hemofiltration
haemofuscin hemofuscin
haemoglobin hemoglobin
haemoglobin-c hemoglobin-c
haemoglobin-oxygen hemoglobin-oxygen
haemoglobin/decilitre hemoglobin/deciliter
haemoglobin/mole hemoglobin/mole
haemoglobinaemia hemoglobinemia
haemoglobinase hemoglobinase
haemoglobinopathies hemoglobinopathies
haemoglobinopathy hemoglobinopathy
haemoglobinuria hemoglobinuria
haemoglobinuric hemoglobinuric
haemogram hemogram
haemohistioblast hemohistioblast
haemolymph hemolymph
haemolymphangioma hemolymphangioma
haemolysed hemolyzed
haemolysin hemolysin
haemolysins hemolysins
haemolysis hemolysis
haemolytic hemolytic
haemolytically hemolytically
haemomediastinum hemomediastinum
haemometra hemometra
haemonyne hemonyne
haemopad hemopad
haemoperfusion hemoperfusion
haemopericardium hemopericardium
haemoperitoneum hemoperitoneum
haemopexin hemopexin
haemophagocytic hemophagocytic
haemophagocytosis hemophagocytosis
haemophilia hemophilia
haemophiliac hemophiliac
haemophilic hemophilic
haemophobia hemophobia
haemophthalmos hemophthalmos
haemopneumothorax hemopneumothorax
haemopoietic hemopoietic
haemoptysis hemoptysis
haemopump hemopump
haemoquant hemoquant
haemorr. hemorr.
haemorrh. hemorrh.
haemorrhage hemorrhage
haemorrhages hemorrhages
haemorrhagic hemorrhagic
haemorrhagica hemorrhagica
haemorrhagicum hemorrhagicum
haemorrhagometry hemorrhagometry
haemorrheologic hemorrheologic
haemorrhoid hemorrhoid
haemorrhoid(s hemorrhoid(s
haemorrhoidal hemorrhoidal
haemorrhoidectomy hemorrhoidectomy
haemorrhoids hemorrhoids
haemosiderin hemosiderin
haemosiderin-laden hemosiderin-laden
haemosiderosis hemosiderosis
haemosiderotic hemosiderotic
haemospermia hemospermia
haemostasis hemostasis
haemostat hemostat
haemostatic hemostatic
haemostatics hemostatics
haemostyptic hemostyptic
haemostyptics hemostyptics
haemotene hemotene
haemothorax hemothorax
haemotympanum hemotympanum
haemovac hemovac
haemovex hemovex
harbour harbor
hemianaesthesia hemianesthesia
heparan-N-sulphatase heparan-N-sulfatase
heparin-sulphate heparin-sulfate
heparin/millilitre heparin/milliliter
heparinised heparinized
heparinising heparinizing
heparitin-sulphate heparitin-sulfate
heparosan-N-sulphate-glucuronate heparosan-N-sulfate-glucuronate
hexoestrol hexestrol
hibTITRE hibTITER
hibTitre hibTiter
histidinaemia histidinemia
homocystinaemia homocystinemia
homoeopath homeopath
homoeopathic homeopathic
homoeopathist homeopathist
homoeopathy homeopathy
homoeostasis homeostasis
homogenisation homogenization
hormone/luteinising hormone/luteinizing
hospitalisation hospitalization
hospitalised hospitalized
humour humor
humoural humoral
hyalinisation hyalinization
hyalinised hyalinized
hyalinising hyalinizing
hybridisation hybridization
hydraemia hydremia
hydrogen-sulphide hydrogen-sulfide
hydrogensulphite hydrogensulfite
hydrorrhoea hydrorrhea
hydroxyprolinaemia hydroxyprolinemia
hypaesthesia hypesthesia
hyper-beta-alaninaemia hyper-beta-alaninemia
hyper-beta-carnosinaemia hyper-beta-carnosinemia
